video_id,channel,publish_date,title,thumbnail_url,views,likes,comments,image_path
9OKLRbjn5QE,NAOMI BIRD,2026-03-06T13:09:25Z,Every student should have this 💸📒🌷 #unboxing #aesthetic #asmr #shorts #shortvideo #shortsfeed,https://i.ytimg.com/vi/9OKLRbjn5QE/hqdefault.jpg,214391,4083.0,112.0,data/raw/images/9OKLRbjn5QE.jpg
-OqNI5I-G6o,Lojé Binyelum,2026-02-21T21:16:20Z,Underconsumption Core: All the Products I used up in February | Product Empties,https://i.ytimg.com/vi/-OqNI5I-G6o/hqdefault.jpg,42,3.0,0.0,data/raw/images/-OqNI5I-G6o.jpg
9iizEiuLklk,Digital Tips Academy,2026-02-21T11:00:14Z,"หมดยุคอวดรวย! รู้จักกับ ""Underconsumption Core"" เทรนด์ใหม่ที่เน้นความประหยัดแต่ดูคูล",https://i.ytimg.com/vi/9iizEiuLklk/hqdefault.jpg,262,1.0,0.0,data/raw/images/9iizEiuLklk.jpg
ofW5Zm3rAb8,Fashion Asaan Hai,2025-08-20T04:30:31Z,2026 में ये 5 सूट ट्रेंड में रहेंगे💖✌️Shopping करने से पहले आप भी ज़रूर जान लें💞FASHION PREDICTION🥰,https://i.ytimg.com/vi/ofW5Zm3rAb8/hqdefault.jpg,136441,725.0,32.0,data/raw/images/ofW5Zm3rAb8.jpg
t6WHwZthBXc,Karina Gomez,2026-03-01T17:00:00Z,2026 SPRING TREND PREDICTIONS you need to KNOW!!,https://i.ytimg.com/vi/t6WHwZthBXc/hqdefault.jpg,6100,,23.0,data/raw/images/t6WHwZthBXc.jpg
PLRsv_j0vhE,WhizQueen,2025-06-08T14:04:32Z,Underconsumption Core EXPOSED | The Truth No One Talks About,https://i.ytimg.com/vi/PLRsv_j0vhE/hqdefault.jpg,6321,2851.0,142.0,data/raw/images/PLRsv_j0vhE.jpg
S1ZB5ZMYtaA,Creative Minds,2026-04-01T15:34:27Z,Aesthetic Highlighter From Meesho🌷#Pastelhighlighter#meeshofinds#creativemindekm#Creative Minds,https://i.ytimg.com/vi/S1ZB5ZMYtaA/hqdefault.jpg,561,10.0,0.0,data/raw/images/S1ZB5ZMYtaA.jpg
hYjElxBKg24,Millennial Melly 🦋,2026-01-24T16:27:20Z,#underconsumption underconsumption core #minimalism #home,https://i.ytimg.com/vi/hYjElxBKg24/hqdefault.jpg,1683,23.0,0.0,data/raw/images/hYjElxBKg24.jpg
BW1KHi9LYGE,Tyra Colar,2026-02-19T16:56:37Z,Spring Outfits | Trend Predictions | Wearable Fashion Trends | Fashion Trends | Curvy Womens Fashion,https://i.ytimg.com/vi/BW1KHi9LYGE/hqdefault.jpg,831,12.0,0.0,data/raw/images/BW1KHi9LYGE.jpg
-pNBlFaWP4A,Snapshots From My Garden,2026-03-24T00:36:50Z,Underconsumption Habits *Micro Habits Part 1*,https://i.ytimg.com/vi/-pNBlFaWP4A/hqdefault.jpg,2887,25.0,1.0,data/raw/images/-pNBlFaWP4A.jpg
ysSuV0_vnYI,AccuWeather,2026-01-28T18:07:37Z,Spring Forecast 2026: Wintry Weather Isn’t Finished Yet!,https://i.ytimg.com/vi/ysSuV0_vnYI/hqdefault.jpg,71948,383.0,45.0,data/raw/images/ysSuV0_vnYI.jpg
I948IURxWz0,Bottle Brush Art,2026-04-01T16:26:32Z,first 30 orders get 4 free bookmarks #cozynotebook #aestheticjournal #artistmade #stationerylove,https://i.ytimg.com/vi/I948IURxWz0/hqdefault.jpg,529,,1.0,data/raw/images/I948IURxWz0.jpg
qEA3inNjCGo,Anibe crafts ,2026-04-01T02:07:08Z,pink aesthetic journal unboxing 🌷#diy #journaling #journalwithme #shorts,https://i.ytimg.com/vi/qEA3inNjCGo/hqdefault.jpg,502,22.0,6.0,data/raw/images/qEA3inNjCGo.jpg
Nlcp7U35ejU,Kelly Gooch,2026-02-13T17:00:39Z,Underconsumption's newest trend is... removing the label?,https://i.ytimg.com/vi/Nlcp7U35ejU/hqdefault.jpg,74932,3685.0,397.0,data/raw/images/Nlcp7U35ejU.jpg
sp9aj1PDyv8,Tori,2026-01-18T07:53:05Z,My makeup and zero waste #sustainability #underconsumptioncore #underconsumption #zerowaste #makeup,https://i.ytimg.com/vi/sp9aj1PDyv8/hqdefault.jpg,1753,25.0,1.0,data/raw/images/sp9aj1PDyv8.jpg
aCzacd9psdU,Olive's Closet,2026-02-01T12:00:01Z,2026 fashion predictions 🤭 #shorts #short #viral,https://i.ytimg.com/vi/aCzacd9psdU/hqdefault.jpg,774,13.0,3.0,data/raw/images/aCzacd9psdU.jpg
CKvzAwl20tI,Sono Jordan,2025-11-06T21:00:23Z,The Stages of Overconsumption: From Mindful To Hoarding,https://i.ytimg.com/vi/CKvzAwl20tI/hqdefault.jpg,8759,383.0,32.0,data/raw/images/CKvzAwl20tI.jpg
FcFXUukDmr0,amiraz_petal,2026-04-01T08:45:25Z,study with me with quran ✨️ادرس معي مع تلاوة القرآن الكريم #coffee #study #studywithme #quran #قرآن,https://i.ytimg.com/vi/FcFXUukDmr0/hqdefault.jpg,1409,54.0,10.0,data/raw/images/FcFXUukDmr0.jpg
fgNvLvBUJXk,Baka Aditya,2026-02-28T09:40:52Z,No Laptop? No Problem! Acode App Setup for Coding on Mobile (Hindi Guide),https://i.ytimg.com/vi/fgNvLvBUJXk/hqdefault.jpg,460,12.0,22.0,data/raw/images/fgNvLvBUJXk.jpg
vfI3vd4D95I,𝗕𝗲𝗮𝘂𝘁𝘆_𝗔𝗲𝘀𝘁𝗵𝗲𝘁𝗶𝗰,2026-03-31T07:22:44Z,#unbox #cute #edit #remix #aestheic @ishwari-m3s2z#transition #cute#aesthetic #new #trending #song,https://i.ytimg.com/vi/vfI3vd4D95I/hqdefault.jpg,1726,14.0,,data/raw/images/vfI3vd4D95I.jpg
IKq237W0Fg4,r3trohs ˖ . ݁𝜗𝜚. ݁₊,2025-05-15T02:22:08Z,underconsumption core *Ꙩꙻ₀Ꙩꙻ)！,https://i.ytimg.com/vi/IKq237W0Fg4/hqdefault.jpg,15426,,53.0,data/raw/images/IKq237W0Fg4.jpg
6IacF32RLcI,Ray Fernando,2026-03-31T19:26:39Z,claude code leaked + building live,https://i.ytimg.com/vi/6IacF32RLcI/hqdefault.jpg,6545,192.0,28.0,data/raw/images/6IacF32RLcI.jpg
Od_UpV1zUmQ,Jason West,2026-03-31T15:57:08Z,How to Set Up a Customer Support Chatbot in 60 Seconds,https://i.ytimg.com/vi/Od_UpV1zUmQ/hqdefault.jpg,542,6.0,1.0,data/raw/images/Od_UpV1zUmQ.jpg
g3JyGAjkM6c,Restful & Softly Rooted ,2026-01-07T14:01:14Z,"Buying Useless Items to Not Feel Empty Inside, ENOUGH is ENOUGH! | Project Pan",https://i.ytimg.com/vi/g3JyGAjkM6c/hqdefault.jpg,5845,186.0,43.0,data/raw/images/g3JyGAjkM6c.jpg
-_QNbl0PrcE,Laney Jean,2026-02-24T16:17:28Z,My 2026 Spring/Summer Trend Predictions,https://i.ytimg.com/vi/-_QNbl0PrcE/hqdefault.jpg,971,82.0,13.0,data/raw/images/-_QNbl0PrcE.jpg
oV6mC8Rt1kY,Apple Developer,2026-02-03T18:04:53Z,Meet agentic coding in Xcode | Apple Developer,https://i.ytimg.com/vi/oV6mC8Rt1kY/hqdefault.jpg,117839,4749.0,,data/raw/images/oV6mC8Rt1kY.jpg
zSJLruvcei4,미국탐구생활,2026-01-22T10:09:50Z,유행 지난 '플렉스'? 요즘 Z세대가 환장하는 '저소비 코어' (Underconsumption Core) 🌿,https://i.ytimg.com/vi/zSJLruvcei4/hqdefault.jpg,180,0.0,1.0,data/raw/images/zSJLruvcei4.jpg
1HpuA7H0KgA,Kita Liss,2026-01-17T18:39:10Z,2026 FASHION TRENDS | trend predictions for 2026,https://i.ytimg.com/vi/1HpuA7H0KgA/hqdefault.jpg,7182,263.0,37.0,data/raw/images/1HpuA7H0KgA.jpg
1T_Syx42Noo,Eco Ariel,2026-03-02T13:06:13Z,Underconsumption core challenge | Grocery haul ,https://i.ytimg.com/vi/1T_Syx42Noo/hqdefault.jpg,12,1.0,0.0,data/raw/images/1T_Syx42Noo.jpg
OuFRKBhcRO0,Phoebe Taylor,2025-12-23T14:30:31Z,2026 fashion trend predictions for real life AND online,https://i.ytimg.com/vi/OuFRKBhcRO0/hqdefault.jpg,28871,1503.0,85.0,data/raw/images/OuFRKBhcRO0.jpg
ggaX_zHGtu8,MM Design,2025-12-20T14:01:29Z,WGSN's Color Predictions for Spring Summer 2026,https://i.ytimg.com/vi/ggaX_zHGtu8/hqdefault.jpg,10328,536.0,85.0,data/raw/images/ggaX_zHGtu8.jpg
NRttxP82wHc,ProgrammingKnowledge2,2026-04-01T03:30:10Z,How to Set Up Project Memory in Claude Code CLI: Automate Context and Stop Repeating Yourself 2026,https://i.ytimg.com/vi/NRttxP82wHc/hqdefault.jpg,52,2.0,1.0,data/raw/images/NRttxP82wHc.jpg
BCh2fx_8rr8,Alexander Mayhue,2026-03-31T17:09:41Z,"Study With Me LIVE 🚀 10-HOURS — Deep Focus (50/10 Pomodoro) | Cozy UK Rain, No Distractions!",https://i.ytimg.com/vi/BCh2fx_8rr8/hqdefault.jpg,6511,197.0,0.0,data/raw/images/BCh2fx_8rr8.jpg
s-qvZsZpT0s,SmartTalks ,2025-04-13T03:40:01Z,How Classmate notebooks Becomes Successful | #shorts #trending,https://i.ytimg.com/vi/s-qvZsZpT0s/hqdefault.jpg,7665710,67933.0,176.0,data/raw/images/s-qvZsZpT0s.jpg
T7u3e_1Uzu4,diyora,2025-08-21T02:03:36Z,Minimalist makeup bag updated✨ #underconsumption #minimalmakeup #projectpan2025 #makeupcollection,https://i.ytimg.com/vi/T7u3e_1Uzu4/hqdefault.jpg,13503,194.0,3.0,data/raw/images/T7u3e_1Uzu4.jpg
s-MIKnjOyEM,ConsoleVlog,2026-04-01T09:03:53Z,Study with me #code #student #developer #computerscience #studywithme,https://i.ytimg.com/vi/s-MIKnjOyEM/hqdefault.jpg,1452,7.0,2.0,data/raw/images/s-MIKnjOyEM.jpg
