feature,transformation,difference
brightness,blur,0.0015740740740852743
entropy,blur,0.037636756896972656
text_length,blur,0.0
text_count,blur,0.0
text_presence,blur,0.0
face_count,blur,1.0
symmetry,blur,0.007764433551198269
edge_density,noise,0.26176504629629627
blur,noise,71718.15913874927
corner_count,noise,495.0
contrast,noise,3.4317999425926047
keypoint_count,noise,575.0
colorfulness,noise,24.239027503403022
brightness,noise,83.77374421296297
entropy,noise,0.35372304916381836
text_length,noise,0.0
text_count,noise,0.0
text_presence,noise,0.0
face_count,noise,0.0
symmetry,noise,0.06941398874364568
edge_density,resize_640x360,0.012138310185185172
